ID,O que você entende por discriminação e preconceito?
#P01,"Separate and make judgments based on ""differences"""
#P02,"Negative approach toward a person based on some characteristic of theirs, prior to understanding them."
#P03,Treat someone differently because of a certain characteristic they have
#P04,When people are treated negatively for being different
#P05,Intolerance regarding people's choices
#P06,Loss of opportunities due to personal characteristics that differ from the majority.
#P07,"Discrimination is unequal treatment based on personal characteristics, while prejudice refers to preformed negative opinions about individuals."
#P08,It is any negative and stereotyped action regarding a certain matter in a way that causes problems and results in differential treatment among people.
#P09,Exclude people who are different or commonly marginalized.
#P10,"Discrimination, for me, is different treatment (mostly pejorative) given to an individual for being part of a group (e.g., Black people). Prejudice, on the other hand, is the formation of a preconceived notion about an individual and/or their abilities."
#P11,Discrimination – different treatment of people for belonging to specific groups.
#P12,"When a person is judged solely based on gender, ethnicity, sexual orientation…"
#P13,Exclusion
#P14,NA
#P15,when there is the judgment or disadvantaging of your work for a characteristic of yours that is judged as different by a social standard.
#P16,"Harm or exclude people based on skin color, gender or other characteristics."
#P17,"By discrimination I understand the devices and processes created to give differential treatment to people based on existential conditions. These treatments usually reinforce the ethical and moral distortions of those in power against historically oppressed groups.

Prejudice is the ability to take action based on the formation of opinions about individuals and situations grounded in discriminatory precepts."
#P18,"I believe it is an exotic behavior that occurs solely because of a condition of the other person that should not trigger such behavior, such as ethnic origin or gender identity."
#P19,Passive-aggressive jokes
#P20,Mental behavior patterns that disregard human diversity.
#P21,"Favor people who are close to what is conventionally understood as ""typical"" or ""standard,"" to the detriment of ""non-typical"" people. Disrespect, make jokes, or provoke negatively because a person has a certain diversity."
#P22,Hinder minorities' access to work based on stereotypes.
#P23,It means depriving someone of opportunities or benefits due to some personal orientation or condition.
#P24,An opinion you have based on pre-established concepts that are not necessarily true.
#P25,lower salarios for example
#P26,
#P27,Negative differential treatment of marginalized groups based on their characteristics.
#P28,"Not only taking away opportunities because a person belongs to an underrepresented group, but also ignoring the impact of previous experiences on current issues. I mentioned above the famous phrase about going beyond just inviting to the party and inviting to dance—in this case, it would be providing support for a dance class and helping overcome shyness, if necessary, before putting the person on the dance floor."
#P29,"Discrimination is treating someone unfairly based on personal characteristics, while prejudice is having negative or stereotyped opinions about groups of people without direct knowledge or experience."
#P30,"in a certain way, the inability to compose teams or include people with different sociocultural characteristics in a given group"
#P31,"These are actions that explicitly or implicitly exclude a group of people and limit the opportunities they have. Beyond the issue of opportunity, discrimination and prejudice can have serious impacts on the quality of life of the excluded/discriminated groups."
#P32,Exclude a certain group of people or treat differently those who belong to a social minority.
#P33,"Pure ignorance. Lack of knowing others. Lack of compassion. Compassion is putting yourself in someone else's place, but swapping lives with them. It’s not thinking about how the other person would think, but rather embodying the other person and giving an opinion according to their perspective. I believe discrimination and prejudice exist only because we do not practice compassion as a society."
#P34,"Discrimination is the act of treating someone unfairly or as inferior based on characteristics such as race, gender, age, or other differences. Prejudice is a culturally preconceived judgment or opinion about someone, often based on stereotypes or lack of information, without direct knowledge."
#P35,"From the moment a “joke” is made that everyone laughs at except the person who was exposed, for me that is where discrimination and/or prejudice begins, even if veiled in a joke."
#P36,"A prior judgment, repeatedly negative, made based on physical characteristics, customs, and clothing."
#P37,"Discrimination is when you distinguish a person based on sexuality, ethnicity, social class."
#P38,"Exclusion based on a specific criterion (race, sexuality, age, religion, etc.)"
#P39,"Discrimination is treating someone unfairly or differently based on characteristics such as race, gender, or ethnic origin. Prejudice is having negative opinions or preconceived judgments about certain groups of people without a factual basis."
#P40,"Discrimination and prejudice are bad things that happen when some people treat others unfairly because of their differences. For example, if someone dislikes another person just because they have a different skin color, that is prejudice. And if that person doesn’t let the other participate in activities just because of that, it is discrimination. It’s like picking teams in gym class and not letting someone play just because you don’t like the clothes they are wearing. It’s wrong and it hurts people’s feelings."
#P41,Prejudgmental and dogmatic judgment of people based on their characteristics
#P42,Act unfairly toward these people. Have negative ideas about these people
#P43,Inequality
#P44,"Aggressions, not only physical, against people from minority groups, motivated especially by characteristics that make them part of a minority."
#P45,Attack against something or someone based on some characteristic that differentiates you from that subject.
#P46,"When in the group there is only one type of ethnicity, and differences in color, race, and their cultures are not respected."
#P47,"I understand prejudice as the negative judgment of someone based on their differences, while discrimination is the unfair and excessive behavior that results from prejudice."
#P48,Intolerance toward the different
#P49,For example: racism.
#P50,I understand it as having negative or stereotyped ideas about a group of people and acting unfairly toward them based on those ideas.
#P51,"Prevent people from accessing something based on characteristics such as race, gender…"
#P52,"It is a person being defined by their place, color, ethnicity, sexual orientation, gender, etc. For example, the stupid idea that women were born to provide care and men were not."
#P53,Segregation or the prevention of advancement for reasons without relevant justification
#P54,"Disrespect toward those who are different from you, whether due to race, belief, sexual orientation or gender identity, ableism, and even age or differences in body appearance."
#P55,Denial of historical and social reality
#P56,"Exclusion of people with different characteristics, needs, and ideologies in any environment."
#P57,Prevent or deny a diverse person from doing what they are able to do due to lack of adaptation and/or lack of understanding of the situation.
#P58,"I understand prejudice as a direct result of discrimination. Discrimination arises with the intent to perpetuate some prejudice because, if we look at the dictionary, to DISCRIMINATE in its scientific sense is “to perceive differences; to distinguish,” but DISCRIMINATION encompasses this concept and adds not only perceiving differences, but actually using them to distinguish people and place them into groups."
#P59,The non-acceptance of individuals for being different from others. Often due to skin color or lack of knowledge.
#P60,"i don’t know how to differentiate both, but it’s judging without knowing deeply, assuming stereotypes as truths, and such."
#P61,"Not respecting differences, harming others simply for being who they are."
#P62,"People excluded, offended, and mistreated for being part of underrepresented groups."
#P63,Mistreat someone based on a specific characteristic
#P64,"When a person is treated differently because of their physical, racial, sexual, age, or other characteristics"
#P65,"The act of judging and limiting a person’s actions in a certain place based solely on issues related to the individual’s characteristics, such as skin color, sexual orientation, or disability."
#P66,"Judge a person negatively (whether their character, ability,…) even before getting to know them."
#P67,A person being treated differently because of some attribute they have
#P68,"I think both are very similar in the sense that either they are passed down “family-wise or from generation to generation,” or they are the result of ignorance, which makes a person judge another or even take action against them based on some specific characteristic."
#P69,It is you treating someone different from you unfairly and negatively.
#P70,"Discrimination and prejudice are the acts of judging a person solely because of some physical characteristic before even properly getting to know them and being able to form an opinion about them. Thus, discriminating against someone is forming a negative opinion about the person and not respecting them, even without having properly interacted with them, often refusing to change this negative thought."
#P71,"Discrimination: An action that lowers or belittles a group or person.
Prejudice: An opinion formed before knowing the person or something else."
